Job Role,Industry Size,Duration ,Rating Overall,Review Title,Overall,Pros,Cons
Manager Admin and Facility,"Construction, 51-200 employees",Used the software for: 1-2 years,4,"""""Microsoft Azure: A Comprehensive and Secure Cloud Platform for All Your Needs""""","We have a positive experience with Microsoft Azure as it offers a wide range of services and features that can be used to build, deploy, and manage applications and services. The platform is highly scalable and allows users to easily manage and allocate resources. The security features offered, such as encryption and access controls, provide users with peace of mind when it comes to storing and managing sensitive data. Additionally, the ability to easily integrate with other Microsoft products and services provides users with a seamless experience. The platform also offers global network of data centers that provides high availability and disaster recovery options and compliance certifications, which makes it a reliable and secure option for businesses. Many organizations find Azure to be a powerful tool that helps them to achieve their business goals.","It offers a wide range of services and features that can be used to build, deploy, and manage applications and services. Some of the things that we commonly like about Azure include:1.The ability to easily scale and manage resources2.The wide range of services available, such as virtual machines, storage, and networking3.The security features offered, such as encryption and access controls4.The ability to easily integrate with other Microsoft products and services5.The ease of deployment and management of applications6.The global network of data centers that provide high availability and disaster recovery options.7.It is also preferred by organizations for its compliance certifications, which makes it secure and reliable for storing sensitive data.","The pricing for certain services to be on the higher side, and the complexity of the platform can make it difficult for some users to navigate and manage their resources."
Senior technical analyst,"Information Technology and Services, 501-1000 employees",Used the software for: 1-2 years,4,"""On the cloud  with Ms Azure """,Best platform to run IT services,"This public cloud offers the Iaas and Paas both to run your business with highly available services and features   
Very flexible to understand the Ui to supprt team and also to the customers  
Cost free as compare to other cloud platforms
Runs with numerous own features under single platform own infra own backups own DR everything under single roof
Best to ruins business seamlessly",Sometimes but rarely  you have to engaged with Ms engineers for dependancies of things
"Computer Software, 201-500 employees",Used the software for: 2+ years,,4,"""Best Cloud platform for digital transformation""",Overall it is a easy to start Cloud platform. Developers can develop lot of intelligent solutions using Azure services.,Azure is very simple to use. The user friendly interfaces and lots of tutorials available to get lots of benefit from Azure. Currently Azure provides more than 100 services.,"It is changing very quickly, sometimes adopting the change is difficult ."
Technical Support Engineer,"Information Technology and Services, 11-50 employees",Used the software for: 6-12 months,5,"""Review of Microsoft Azure""","I have found Microsoft Azure to be an exceptional cloud computing platform that offers a wide range of services and features. The scalability and global availability of resources have been particularly useful for my business, as we have been able to easily adapt to changing demands and reach customers in different regions. The security features provided by Azure have also been extremely beneficial, giving me peace of mind that our data is protected.I also appreciate the integration of Azure with other Microsoft products, such as Office 365 and Dynamics 365, which has made it easy for me to use Azure as part of my overall IT strategy.","Global availability: Azure has a global network of data centers, which ensures that resources are available to customers in different regions. This allows businesses to deploy resources close to their customers for faster access and lower latency.High availability: Azure is designed to provide high availability for resources, which means that resources are highly available, even in the event of a failure. This ensures that services remain online and available to customers.Security: Azure provides a number of security features, including encryption, access control, and compliance, to help customers keep their data and resources secure.Integration with other Microsoft products: Azure is tightly integrated with other Microsoft products, such as Office 365 and Dynamics 365, which makes it easy for businesses to use Azure as part of their overall IT strategy.Flexibility: Azure offers a wide range of services, from virtual machines to storage and databases, which makes it easy for businesses to use Azure to meet their unique needs.","Dependence on Internet: Azure relies on a stable internet connection to access resources and services, which can be a problem for businesses that operate in areas with poor internet connectivity.Complexity in cost management: Azure's pay-as-you-go pricing model can make it difficult for businesses to predict and manage their costs. This can lead to unexpected costs if businesses are not careful in monitoring their usage.Learning Curve: Azure's complexity can require a steep learning curve for businesses new to cloud computing, which can be time-consuming and require additional resources."
"Retail, 11-50 employees",Used the software for: 2+ years,,5,"""Great software!""",Turning up virtual conditions and facilitating programming for customers and we utilize cold and hot stockpiling for customers servers and backs with sky blue as they offer probably the best stockpiling rates when contrasted with AWS. We can likewise turn up virtual area and dynamic indexes for our customers to expel the warmth and upkeep from little offices on the edge of their condition that probably won't have a committed space for IT. Permitting us to now just offsite the IT yet in addition the foundation.,"I have discovered the best use for Azure is to off site the IT equipment for framework, So now IT can have the group off site as well as now that off site group doesn't need to stress over the servers being moved by workers messing around in the system closets.Allowing whole organizations to be overseen off site.","Lacking options for life cycle management. - Some of the capacities just work in the great gateway. The unwavering quality of the administrations relies upon the innovative and monetary limit of the suppliers of administrations in the cloud. The data of the organization must experience various hubs to arrive at its goal, every one of them (and its channels) are a wellspring of frailty. The centralization of the applications and the capacity of the information begins an association of the specialist co-ops. It is valuable in the event that you are inexperienced with Azure to take an internet instructional class that will take you far to ace it and increment your trust in the item. It will in general use assets and when the VM goes down it is moderate and freezes. the dashboard configuration is confounding AF, it is hard to discover things. You pay the help, or send them a tweet and cross your fingers. Charging is confounding, particularly toward the start, and it is difficult to gauge costs without seeing the utilization of a whole application/site. foundation as an assistance permits me to save time and assets up to that point to keep up its own framework, safety efforts are past the scope of most organizations, security guidelines give clients the certainty that their information will be completely ensured. The help was deficient (my experience of 1 of every year and a half was extremely baffling). In rundown, paying little heed to what the framework lets you know, on the of"
Senior Software Developer,Unspecified,Used the software for: 2+ years,2,"""A powerful platform with tons of options but a confusing interface and unclear pricing""","There are a ton of amazing points about Azure. The ease of which you can spool up new websites, databases, or even entire virtual machines is incredible. You can do in minutes what would take you hours to do on site. Setting up communication between resources is also quite easy. 

Inside each installed item (website, VM, SQL Server, etc.), there will be options that you can configure. These options make it very easy to quickly configure your resources in a way that is best. Not sure what you should do for setup? No problem. There are usually only a few pages of options, so it is easy enough to click through each page and read them (and their associated help). That allows for a much better experience for even novice Azure users.","I like Azure a lot, but there are definitely some big areas for improvement. The biggest, I think, is a very clear and transparent pricing system. It is very difficult to figure out what a certain addition will do to impact your monthly pricing. You have to guess a bit at what you think will happen and where you think you are at overall to figure out if you can afford to add another resource. That's not the way it should be.

The interface leave a lot to be desired as well. They just updated it, but it actually added to the confusion. There are so many boxes and flyouts to navigate, it gets hard to figure out what resources you are already using. I would like to see a very clear ""this is what you have"" system, especially when new resources can use the existing resources. For example, you can set up a VM to host your websites. Cool. However, that VM is a special one and it is hard to find to configure. Also, it is hard to figure out if it would be ok to add another website to it or not (is it pegged out or is there some wiggle room to add more load?).

Like I said, I like Azure. There is just room to make it better.",
"Graphic Design, 11-50 employees",Used the software for: 6-12 months,,5,"""Azure is the best cloud service provider there is. Very reliable and secure.""","Overall Microsoft Azure has been excellent. Migrating from onsite solutions to Microsoft Azure had been the best decision my company has made. Azure has proven to be faster, more efficient and secure than our former onsite set up.","Azure totally bests onsite solutions when it comes to deployment speed and speed of scalability. This is what motivated my companies decision to move from onsite to cloud. The most powerful feature that has been a game changer for my company is Azure VM(Virtual Machines). My team and I were able to create our own customised virtual machines very easily and in a matter of minutes. All we had to do was define an operating system, language, workload and almost instantly we had our virtual machine up and running ready for use. A process that would have taken at least a week with on-site solutions was done in minutes. This has greatly improved my team's productivity as we now have the ability to switch between Linux/Windows on the same machine, with a different set of tools and apps. We can now experiment, develop, test and get feedback much faster than before. Also, with services like Azure Autoscale we are able to dynamically scale applications to meed changing demand based on certain metrics. My team forecasted that traffic was going to increase exponentially in the following week and we were able to easily add 5 more virtual machines to handle the load.","I don't have any complaints about Azure's functionality performance or reliability it has been excellent. However I do have a problem with Azures somewhat clunky and chaotic interface. I would prefer a more refined and easy to navigate interface. Also a clear and transparent pricing system is needed to enable us users determine how much a particular addition will cost instead of having to ""guess"" a little."
Senior Consultant,"Telecommunications, 10,001+ employees",Used the software for: 1-2 years,3,"""The New Way to Develop, Deploy, and Maintain""","I honestly really like it. In the beginning (as with anyone) I found myself constantly wanting to go back to Pivotal or VM Ware's suite of tools and software but after learning what Azure can do and getting comfortable with it, its not so bad. Learning shortcuts and tricks makes a big difference in speeding up your tasks so I highly recommend learning how the folks at Microsoft utilize Azure as they know all the tips and tricks. Other than that, its sturdy, reliable, and its reaching its ""One-stop shop"" capabilities as I learn more and continue using it.","Microsoft went all out to develop the one-stop shop for enterprise development. Azure has everything you need to succeed when it comes to development, deploying, staging, maintaining, and monitoring. Microsoft has gone the extra mile to make sure all steps have their own respective software or portal to ensure maximum fluid integration. When it all works, it works very very well. You won't be needing to go out and find additional software to what they're offering because  they have thought everything through. On the other end however, sometimes we have our own preferences so Microsoft has made sure that Azure is adaptable to 3rd party applications, software, plugins, pretty much the whole nine-yards. They even play nice with some of the competing software they created this whole suite for. In essence, Microsoft is making sure this is the software for anyone's use. Of course the same is supported with countless and invaluable tutorials, courses, and forums to ensure your success using Azure.","When something did break, Microsoft's support is slow at best. No matter what the urgency, it always took an extra push or kick to really get Microsoft's attention. Regardless of the severity of any issue found, I believe that Microsoft should really look into understanding their client's impact and not just determine severity based on their outlook (no pun intended). Azure overall is great and this is really the only significant issue I have found. Also, the Azure suite is nothing you can learn over night but given the amount of features and capabilities, it may take some time to learn it all. I will say that it is similar to other tools and software used in the same field so it makes it easier but if you want to use its true potential, it will still take time to learn."
Desktop Support Engineer,"Education Management, 201-500 employees",Used the software for: 2+ years,5,"""Microsoft Azure""","Microsoft Azure is a cloud computing platform that offers a wide range of services and tools to help organizations build, deploy, and manage applications and services in the cloud. Some of the things that make Microsoft Azure an attractive option for businesses include:","Flexibility: Azure supports a wide range of programming languages, operating systems, frameworks, and tools, which means that developers can use the tools and technologies they are most comfortable with to build applications and services in the cloud.","Hybrid Capabilities: Azure supports hybrid cloud scenarios, which means that organizations can use Azure to integrate their on-premises infrastructure with the cloud. This can help organizations to leverage the benefits of the cloud while still maintaining control over sensitive data and applications."
Write a Review for Microsoft Azure,"Program Development, Self-employed",Used the software for: 2+ years,5,"""Microsoft Azure Review""","I appreciate the ease of use and the wide range of tools and resources available on the Azure platform, as well as the active community of developers who offer support and guidance. Azure also offers a range of pricing options and tools to help businesses manage costs and optimize their spending.However, as with any cloud platform, there may be some challenges or limitations associated with using Azure, such as complexity, cost, integration issues, and reliance on a single vendor. Nonetheless, many businesses have found success with Azure and continue to rely on it for their cloud computing needs.","One of the most popular features of Microsoft Azure is its scalability. Azure can easily scale up or down based on the changing needs of your business, allowing you to quickly and easily add or remove resources as required. This makes it an ideal platform for businesses with fluctuating demands, such as those in the e-commerce, gaming, or healthcare industries.Another advantage of Azure is its flexibility. It supports a wide range of programming languages, operating systems, databases, and tools, making it easy to integrate with your existing IT infrastructure. Azure also offers a range of deployment options, including public, private, and hybrid clouds, which allows you to choose the best solution for your business.Azure is also known for its robust security features, which include multi-factor authentication, identity and access management, and compliance certifications. This makes it a popular choice for businesses with high-security requirements, such as those in the finance or government sectors.","Complexity: While Azure offers a lot of flexibility and customization options, this can also make it more complex to set up and manage than some other cloud platforms. Users may need to invest more time and resources into training and support to fully take advantage of all the features.Cost: As with any cloud service, costs can add up quickly, especially if you need to scale up rapidly or store large amounts of data. While Azure offers a range of pricing options and tools to help you manage costs, it may not be the most cost-effective solution for all businesses.Integration: While Azure is designed to be highly customizable and compatible with a wide range of tools and services, it may not integrate seamlessly with all existing IT infrastructure. Some businesses may need to invest in additional software or services to make sure all systems work together smoothly.Reliance on Microsoft: Since Azure is a Microsoft product, users may feel that they are locked into a particular ecosystem and have limited options if they want to switch to a different cloud platform in the future."
Student,"Computer Software, Self-employed",Used the software for: I used a free trial,4,"""Azure review""","New chatPrashant DarshanwarPros and cons of Microsoft Azure software Microsoft Azure is a cloud computing platform provided by Microsoft that offers a wide range of services for building, deploying, and managing applications and infrastructure. Here are some pros and cons of Microsoft Azure:Pros:Scalability: Azure allows for easy scaling of resources up or down to accommodate changing workload demands.Global Presence: With over 60 regions worldwide, Azure offers a vast network of data centers and content delivery networks (CDNs), allowing for faster and more reliable access to resources for users globally.Integration: Azure integrates with other Microsoft products, such as Office 365 and Windows, as well as with other third-party software and platforms.Security: Azure provides built-in security and compliance features, including monitoring and reporting tools, identity and access management, and threat protection.Hybrid Capabilities: Azure supports hybrid cloud environments, allowing for the integration of on-premises infrastructure with cloud resources.","Complexity: Azure can be complex and challenging to manage, especially for those unfamiliar with cloud computing or the Microsoft ecosystem.Pricing: While Azure offers flexible pricing options, it can be expensive, especially for organizations with significant data storage and processing needs.Support: Azure support can be slow or unresponsive at times, leading to significant downtime for organizations.Dependency: Organizations that rely heavily on Azure may become overly dependent on Microsoft, which can lead to vendor lock-in and limit their ability to switch to other cloud providers.Learning Curve: Users may need to invest time and resources in training to become proficient in using Azure effectively.Overall, Microsoft Azure is a powerful cloud platform that offers numerous benefits for businesses of all sizes, but it's important to carefully evaluate the platform's pros and cons before making a decision.Complexity: Azure can be complex and challenging to manage, especially for those unfamiliar with cloud computing or the Microsoft ecosystem.Pricing: While Azure offers flexible pricing options, it can be expensive, especially for organizations with significant data storage and processing needs.Support: Azure support can be slow or unresponsive at times, leading to significant downtime for organizations.Dependency: Organizations that rely heavily on Azure may become overly dependent on Microsoft, which can lead to vendor lock-in and limit their ability t",
Freelancer,"Information Technology and Services, Self-employed",Used the software for: 1-2 years,5,"""Microsoft Azure: Best Cloud Provider""","Microsoft Azure is a comprehensive cloud computing platform that offers a wide range of services and solutions for businesses and organizations of all sizes. It is known for its reliability, scalability, and security, making it a top choice for enterprise-level applications. Azure provides a range of services, including infrastructure as a service (IaaS), platform as a service (PaaS), and software as a service (SaaS) offerings, making it a one-stop-shop for all of a company's cloud computing needs. Additionally, the platform integrates well with other Microsoft products, making it a great choice for organizations that use the Microsoft ecosystem. Overall, Microsoft Azure is a highly recommended platform for businesses looking to take advantage of the benefits of cloud computing. However, businesses need to consider the cost and complexity of the platform before committing to it.","Reliability: Azure is known for its highly available and dependable services, ensuring that businesses can rely on the platform for mission-critical applications.Scalability: The platform provides a range of scalable services and solutions, allowing businesses to easily adjust to changing demands.Integration: Azure integrates well with other Microsoft products, making it a great choice for organizations that use the Microsoft ecosystem.Security: Azure places a strong emphasis on security and offers a range of security features and services to help protect sensitive data.Wide range of services: Azure provides a comprehensive range of services, including infrastructure as a service (IaaS), platform as a service (PaaS), and software as a service (SaaS) offerings, making it a one-stop-shop for all of a company's cloud computing needs.","Cost: Azure can be more expensive than other cloud computing platforms, especially for businesses with limited budgets.Complexity: The platform can be complex and difficult to navigate for businesses without prior experience with cloud computing.Steep learning curve: The platform offers a wide range of services and solutions, which can make it challenging for businesses to learn and get started."
Sr IT Project Manager,"Automotive, 10,001+ employees",Used the software for: 2+ years,5,"""Great cloud platform""","In my case, my experience was satisfactory. In fact, Azure can easily use the performance and use of all companies, whether a local company or a company that has offices in different countries / regions. In this way, it can concentrate on commercial objectives without thinking about the infrastructure that supports the process. In addition, from the user's point of view, you can always have a good experience regardless of your position. With the safe connection, you can easily access the platform.","Its design is beautiful and intuitive. This is an easy to use tool that is excellent to meet my cloud storage needs. I like to store all kinds of information and additions to a certain function. Excellent application for online storage. It offers excellent videos and graphics for exchange that is difficult to receive by email, due to this script, it fully helps in the development of work and helps improve our traffic processing. The joy of communication is an important issue, as well as the videos and graphics that we want to share on time, quickly and safely, without invaluable restrictions. It is also interesting to have endless resources and analysis. Azure allows us to turn our ideas into solutions, providing a visual system of an unprecedented scale and a short term value/performance in a cloud that takes place in data and analysis.",It requires having experience on platforms a simple error could generate problems.
Engineering,"Computer Software, 201-500 employees",Used the software for: 1-2 years,5,"""Microsoft Azure""","My overall experience with Microsoft Azure has been great. I use it regularly in my development projects to quickly spin up virtual machines, databases and other services in the cloud. It is particularly useful for hosting web apps and running large-scale web applications, as well as for analytics solutions for data harvesting and analysis. With Azure, I am able to benefit from its highly scalable resources that can easily be adjusted as my needs change. Additionally, as I leverage the features such as elastically scale compute resources, automated deployment of new environments when needed, multiple custom images for different solutions - all these benefits make me completely relive the stress of managing a small on-premise environment with limited resources. In particular, I have realized significant cost savings in terms of time and money due to not having to worry about investing upfront in hardware or software licenses or hiring IT personnel to manage on-site servers and databases. Furthermore, due to its strong security record, I am comfortable knowing that Azure provides reliable protection against unauthorized access to customer data","I like that Microsoft Azure provides a seamless integration with existing systems and applications, allowing organizations to quickly and easily adopt cloud-based services. Additionally, its scalability and robustness are ideal for any size organization, from small businesses to large enterprises. The intuitive user interface makes it easy to manage, monitor, and deploy cloud-based solutions. Finally, the comprehensive range of features ensures organizations have everything they need in order to get the most out of their cloud experience.","One of the least liked aspects of Microsoft Azure software is that it can be quite costly compared to other software solutions in the market. Additionally, depending on the license and specific features needed, some complexity is involved when setting up and using the platform. Additionally, certain regions may also have limited Azure offerings which can limit functionality for some users."
Research and Development Director,"Information Technology and Services, 51-200 employees",Used the software for: 1-2 years,1,"""Azure has a long way to go""",Azure is developing itself continuously and I believe it will be better in the future.,"I gave 5 stars to its features and functionality because Azure really tries hard to stay competitive in the market and it has most of the features that a cloud provider should offer. We use Azure to provide our services to our customers that work with Microsoft. 

What I like the most about Azure is its AI tools. Azure is really successful when it comes to machine learning.","I will be a little bit cruel about Customer Support and Ease of Use. 

We work with Azure as CSP partners. One day we had a problem with one of our servers and I couldn't even reach to support team to get help. Later I learned that since we are CSP partners we cannot directly get in touch with Azure team. Instead we should contact our local dealer to get support. It is tiring to involve bureaucracy to IT when all I wanted was to mount a disk to another server. 

Be very careful when you test the servers. You will be charged for a full hour even if you keep the server alive for 5 minutes. 

If you do not want to delete a resource accidentally you must lock it. I learned this lock feature from our local distributor but Azure should force you to take such cautions by putting the option directly to the interface. Maybe a little checkbox saying ""Do you want to lock your resource?"" would be nice.

The interface should be more user friendly. It is really complicated for the beginners. The partial windows that open in each step is confusing. It will be easier without the split structure."
Prevent Manager,"Information Technology and Services, 11-50 employees",Used the software for: 2+ years,4,"""Awesome Performance and Standards from Microsoft Azure""",Microsoft Azure has been the best cloud option for virtual machines we have used.  We are able to quickly setup and resolve virtual machines.  The support has been amazing to work with and we would recommend to any company looking for a secure and reliable VDI setup.,"Microsoft has been the standard for Windows machines and desktops for decades.  All of our engineers and techs were more familiar and comfortable using Microsoft Azure over the competitors.   The way all the permissions, configurations and features are together in one console makes everything more efficient at setting up.",The training for administrators takes too much time for them to complete.  The different portals do not load all every time.  There is no indication of when a process will complete when you start it.
Software Tester,"Information Technology and Services, 10,001+ employees",Used the software for: 2+ years,,"""Azure: Unleashing the Power of Cloud Innovation""","Generally, I have used It  and it has amazing offers that cater to diverse needs, including infrastructure as a service (IaaS), platform as a service (PaaS), and software as a service (SaaS). Azure's scalability, flexibility, and global infrastructure have been awesome to me, allowing them to easily scale my resources and deploy applications closer to their target audience. I had setup several VM's to do my work hence making it effective to deploy and automate tasks easily.","What I like most about the platform is its broad range of cloud services, offering scalability, flexibility, and integration with other Microsoft apps and services. Its hybrid capabilities enable seamless integration between on-premises infrastructure and the cloud. Azure's strong security measures and global infrastructure provide me with peace of mind and the ability to deploy resources closer to their target audience. While desired features may vary, Azure offers enhanced monitoring, AI and machine learning services, serverless computing options, and industry-specific solutions which is basically a good idea for me.","There are areas that I have identified as potential areas for improvement. I have found Azure's complexity challenging, particularly for newcomers to cloud platforms, and cost management can be a concern due to the pricing structure and the need for careful monitoring. I will also mention the responsiveness and effectiveness of technical support as a potential area for improvement. Desired features vary depending on specific use cases, but users may desire enhancements in areas like advanced analytics, automation, monitoring, and seamless integration with third-party services. I still find certain aspects complex."
Software Developer,"Computer Software, 51-200 employees",Used the software for: 2+ years,,"""MS Azure, why i use it for computing?""","Microsoft Azure is a powerful cloud computing platform that offers a broad range of services to meet the needs of businesses and developers. Its scalability, global presence, and robust security measures provide flexibility, optimized costs, improved performance, and instill confidence in users. With a wide range of services, Azure empowers users to build, deploy, and manage their applications efficiently. Overall, Azure is a reliable, secure, and feature-rich option that is highly regarded among organizations seeking a solid cloud computing solution.","I've noticed that Microsoft invests heavily in security and innovating new ways to use the cloud. In fact, they come up with so many new features that sometimes it's hard for users to keep up. Nevertheless, I see this as a positive thing because it shows their commitment to improving their product and providing the best possible experience for their users.","In my experience, debugging apps can be challenging as it's not always a straightforward process. I wish there were more readily available dashboards and graphs that could provide insights into how the app is performing. Unfortunately, the current process often involves setting up multiple queries and instrumentation, which can be time-consuming and tedious. Improved accessibility to detailed performance metrics would greatly benefit developers, allowing for a more streamlined and efficient debugging process."
